Original_Entry_ID,Gene_Symbol,SMILES
CHEMBL422416,KCNA3,C1(=C(C=2C=COC2C=C1O)OC)C(=O)C
44388977,KCNA3,O(C1C2[C@](C3[C@]([C@H]1OC(=O)C)([C@H](OC(=O)C)C)COCC=C3)(CCC4[C@@]2([C@H](OC(=O)C)C=C(C4(O)CCC5=CC=CC=C5)C)C)C)C(=O)C
CHEMBL3298145,KCNA5,C1(=C2C(=CC=C1)ON=C2NCC(C3=CC=CC=C3)(C)C)CC
CHEMBL3262808,KCNA5,C(=O)(N1CCN(CC1)CCOC=2C=CC=CC2)C3=CC=C(C=C3)OC
CHEMBL3127395,KCNA5,O=S(=O)(N([C@@H]1[C@H](CCCC1)O)CC2=CC=CC=C2)C3=CC=C(C=C3)OC
CHEMBL386226,KCNA5,C(C(C(CC(=O)OC)C=1C=NC=CC1)C2=CC(C#N)=CC=C2)(N(C(C)C)C(C)C)=O
CHEMBL585353,KCNA5,N=1C2=CC=NN2C(C(C1C)C=3N(C4=C(N3)C=C(C=C4)C(F)(F)F)C)C=5C=C(Cl)C(Cl)=CC5
CHEMBL216955,KCNA5,C(C(C(CNC(CC(C1=CC=CC=C1)C)=O)C2=CC=CC=C2)C=3C=NC=CC3)(N(C(C)C)C(C)C)=O
CHEMBL495373,KCNA5,N([C@@H]1C=2C=C(NC(CNCC3=CC=CC=C3)=O)C=CC2CC[C@H]1O)S(=O)(C=4C=CC(CC)=CC4)=O
4624023,KCNH2,BrC1(Br)C(C1)(C(=O)N2CCOCC2)C
2776488,KCNH2,O=CC=1C=CC(N2N=CN=C2)=CC1
78262,KCNH2,S1C2=C(CCCC2)C(=C1N)C(OCC)=O
227186,KCNH2,O1C(C(=O)C=CC=2OC=CC2)=CC=C1
9549466,KCNH2,N=1C(CC2=C(C1C)C=CC=C2)(C)C
2812780,KCNH2,FC1=CC=2N=C3CCCCC3=NC2C=C1
237116,KCNH2,OCCCNC1=NC=NC=2NN=CC12
660882,KCNH2,O=C1C2=C(N(N=C2C)CCO)CCC1
233187,KCNH2,O(CCN1CCNCC1)C2=CC=CC=C2
16239698,KCNH2,S1C=C(/C=N/N2CCOCC2)C=C1
16189374,KCNH2,S1C(CNCCNCC(O)C)=CC=C1
243916,KCNH2,P(=O)(N1CC1)(N2CCCCCC2)N3CCCCCC3
4663588,KCNH2,ClC=1C=C(C=2ON=C(C2)CO)C=CC1Cl
1479067,KCNH2,ClC=1SN=NC1COC2=C(C=CC=C2)C=O
2325023,KCNH2,FC=1C=2N3CCCCCCC3=NC2C=CC1F
87470,KCNH2,O(C(C)C)C(=O)C1=CC=C(N)C=C1
648465,KCNH2,N1(C(=CC=C1C)C)C2=CC(N)=CC=C2
1487507,KCNH2,ClC=1C=C(CONC(=O)N)C=CC1
604334,KCNH2,N12CC(C(CC1)CC2)C3=CC=CC=C3
367927,KCNH2,O=C1CCC=C(C2=CC=C(OC)C=C2)C1
333033,KCNH2,ClC1=CC=C(C=2N=C3SCCN3C2)C=C1
2832735,KCNH2,S1C(CCCN)=C(C=C1C)C(=O)O
6903616,KCNH2,OC=1N(C2=C(C1N=N)C=CC=C2)CC
44246719,KCNH2,N(C(CC1=CC=CC=C1)C)CCCC
141707,KCNH2,O=N(=O)C1=CC(=C(N(C)C)C=C1)C
16188868,KCNH2,ClC1=CC=C(SCCCN2CCCCC2)C=C1
151506,KCNH2,S(O)(=O)(=NC=1C2=NC=CC=C2C=CC1)C
2739035,KCNH2,ClC=1C=2N=C(SC2C=C(Cl)C1)N3CCCC3
6456581,KCNH2,ClC1=C(OCCOCCN2CCNCC2)C=CC=C1Cl
2957464,KCNH2,S1C(=NN=C1NC(=O)C2OCCC2)CCCCC
